,year
259,True
260,False
261,False
262,True
263,True
264,True
265,False
266,False
267,True
268,True
269,True
270,False
271,False
272,True
273,True
274,True
275,False
276,False
277,True
278,True
279,True
280,False
281,False
282,True
283,True
284,True
285,False
286,False
287,True
288,True
289,True
290,False
291,False
292,True
293,True
294,True
295,False
296,False
297,True
298,True
299,True
300,False
301,False
302,True
303,True
304,True
305,False
306,False
307,True
308,True
309,True
310,False
311,False
312,True
313,True
314,True
315,False
316,False
317,True
318,True
319,True
320,False
321,False
322,True
323,True
324,True
325,False
326,False
327,True
328,True
329,True
330,False
331,False
332,True
333,True
334,True
335,False
336,False
337,True
338,True
339,True
340,False
341,False
342,True
343,True
344,True
345,False
346,False
347,True
348,True
349,True
350,False
351,False
352,True
353,True
354,True
355,False
356,False
357,True
358,True
359,True
360,False
361,False
362,True
363,True
364,True
365,False
366,False
367,True
368,True
369,True
370,False
371,False
372,True
373,True
374,True
375,False
376,False
377,True
378,True
379,True
380,False
381,False
382,True
383,True
384,True
385,False
386,False
387,True
388,True
389,True
390,False
391,False
392,True
393,True
394,True
395,False
396,False
397,True
398,True
399,True
400,False
401,False
402,True
403,True
404,True
405,False
406,False
407,True
408,True
409,True
410,False
411,False
412,True
413,True
414,True
415,False
416,False
417,True
418,True
419,True
420,False
421,False
422,True
423,True
424,True
425,False
426,False
427,True
428,True
429,True
430,False
431,False
432,True
433,True
434,True
435,False
436,False
437,True
438,True
439,True
440,False
441,False
442,True
443,True
444,True
445,False
446,False
447,True
448,True
449,True
450,False
451,False
452,True
453,True
454,True
455,False
456,False
457,True
458,True
459,True
460,False
461,False
462,True
463,True
464,True
465,False
466,False
467,True
468,True
469,True
470,False
471,False
472,True
473,True
474,True
475,False
476,False
477,True
478,True
479,True
480,False
481,False
482,True
483,True
484,True
485,False
486,False
487,True
488,True
489,True
490,False
491,False
492,True
493,True
494,True
495,False
496,False
497,True
498,True
499,True
500,False
501,False
502,True
503,True
504,True
505,False
506,False
507,True
508,True
509,True
510,False
511,False
512,True
513,True
514,True
515,False
516,False
517,True
518,True
519,True
520,False
521,False
522,True
523,True
524,True
525,False
526,False
527,True
528,True
529,True
530,False
531,False
532,True
533,True
534,True
535,False
536,False
537,True
538,True
539,True
540,False
541,False
542,True
543,True
544,True
545,False
546,False
547,True
548,True
549,True
550,False
551,False
552,True
553,True
554,True
555,False
556,False
557,True
558,True
559,True
560,False
561,False
562,True
563,True
564,True
565,False
566,False
567,True
568,True
569,True
570,False
571,False
572,True
573,True
574,True
575,False
576,False
577,True
578,True
579,True
580,False
581,False
582,True
583,True
584,True
585,False
586,False
587,True
588,True
589,True
590,False
591,False
592,True
593,True
594,True
595,False
596,False
597,True
598,True
599,True
600,False
601,False
602,True
603,True
604,True
605,False
606,False
607,True
608,True
609,True
610,False
611,False
612,True
613,True
614,True
615,False
616,False
617,True
618,True
619,True
620,False
621,False
622,True
623,True
624,True
625,False
626,False
627,True
628,True
629,True
630,False
631,False
632,True
633,True
634,True
635,False
636,False
637,True
638,True
639,True
640,False
641,False
642,True
643,True
644,True
645,False
646,False
647,True
648,True
649,True
650,False
651,False
652,True
653,True
654,True
655,False
656,False
657,True
658,True
659,True
660,False
661,False
662,True
663,True
664,True
665,False
666,False
667,True
668,True
669,True
670,False
671,False
672,True
673,True
674,True
675,False
676,False
677,True
678,True
679,True
680,False
681,False
682,True
683,True
684,True
685,False
686,False
687,True
688,True
689,True
690,False
691,False
692,True
693,True
694,True
695,False
696,False
697,True
698,True
699,True
700,False
701,False
702,True
703,True
704,True
705,False
706,False
707,True
708,True
709,True
710,False
711,False
712,True
713,True
714,True
715,False
716,False
717,True
718,True
719,True
720,False
721,False
722,True
723,True
724,True
725,False
726,False
727,True
728,True
729,True
730,False
731,False
732,True
733,True
734,True
735,False
736,False
737,True
738,True
739,True
740,False
741,False
742,True
743,True
744,True
745,False
746,False
747,True
748,True
749,True
750,False
751,False
752,True
753,True
754,True
755,False
756,False
757,True
758,True
759,True
760,False
761,False
762,True
763,True
764,True
765,False
766,False
767,True
768,True
769,True
770,False
771,False
772,True
773,True
774,True
775,False
776,False
777,True
778,True
779,True
780,False
781,False
782,True
783,True
784,True
785,False
786,False
787,True
788,True
789,True
790,False
791,False
792,True
793,True
794,True
795,False
796,False
797,True
798,True
799,True
800,False
801,False
802,True
803,True
804,True
805,False
806,False
807,True
808,True
809,True
810,False
811,False
812,True
813,True
814,True
815,False
816,False
817,True
818,True
819,True
820,False
821,False
822,True
823,True
824,True
825,False
826,False
827,True
828,True
829,True
830,False
831,False
832,True
833,True
834,True
835,False
836,False
837,True
838,True
839,True
840,False
841,False
842,True
843,True
844,True
845,False
846,False
847,True
848,True
849,True
850,False
851,False
852,True
853,True
854,True
855,False
856,False
857,True
858,True
859,True
860,False
861,False
862,True
863,True
864,True
865,False
866,False
867,True
868,True
869,True
870,False
871,False
872,True
873,True
874,True
875,False
876,False
877,True
878,True
879,True
880,False
881,False
882,True
883,True
884,True
885,False
886,False
887,True
888,True
889,True
890,False
891,False
892,True
893,True
894,True
895,False
896,False
897,True
898,True
899,True
900,False
901,False
902,True
903,True
904,True
905,False
906,False
907,True
908,True
909,True
910,False
911,False
912,True
913,True
914,True
915,False
916,False
917,True
918,True
919,True
920,False
921,False
922,True
923,True
924,True
925,False
926,False
927,True
928,True
929,True
930,False
931,False
932,True
933,True
934,True
935,False
936,False
937,True
938,True
939,True
940,False
941,False
942,True
943,True
944,True
945,False
946,False
947,True
948,True
949,True
950,False
951,False
952,True
953,True
954,True
955,False
956,False
957,True
958,True
959,True
960,False
961,False
962,True
963,True
964,True
965,False
966,False
967,True
968,True
969,True
970,False
971,False
972,True
973,True
974,True
975,False
976,False
977,True
978,True
979,True
980,False
981,False
982,True
983,True
984,True
985,False
986,False
987,True
988,True
989,True
990,False
991,False
992,True
993,True
994,True
995,False
996,False
997,True
998,True
999,True
1000,False
1001,False
1002,True
1003,True
1004,True
1005,False
1006,False
1007,True
1008,True
1009,True
1010,False
1011,False
1012,True
1013,True
1014,True
1015,False
1016,False
1017,True
1018,True
1019,True
1020,False
1021,False
1022,True
1023,True
1024,True
1025,False
1026,False
1027,True
1028,True
1029,True
1030,False
1031,False
1032,True
1033,True
1034,True
1035,False
1036,False
1037,True
1038,True
1039,True
1040,False
1041,False
1042,True
1043,True
1044,True
1045,False
1046,False
1047,True
1048,True
1049,True
1050,False
1051,False
1052,True
1053,True
1054,True
1055,False
1056,False
1057,True
1058,True
1059,True
1060,False
1061,False
1062,True
1063,True
1064,True
1065,False
1066,False
1067,True
1068,True
1069,True
1070,False
1071,False
1072,True
1073,True
1074,True
1075,False
1076,False
1077,True
1078,True
1079,True
1080,False
1081,False
1082,True
1083,True
1084,True
1085,False
1086,False
1087,True
1088,True
1089,True
1090,False
1091,False
1092,True
1093,True
1094,True
1095,False
1096,False
1097,True
1098,True
1099,True
1100,False
1101,False
1102,True
1103,True
1104,True
1105,False
1106,False
1107,True
1108,True
1109,True
1110,False
1111,False
1112,True
1113,True
1114,True
1115,False
1116,False
1117,True
1118,True
1119,True
1120,False
1121,False
1122,True
1123,True
1124,True
1125,False
1126,False
1127,True
1128,True
1129,True
1130,False
1131,False
1132,True
1133,True
1134,True
1135,False
1136,False
1137,True
1138,True
1139,True
1140,False
1141,False
1142,True
1143,True
1144,True
1145,False
1146,False
1147,True
1148,True
1149,True
1150,False
1151,False
1152,True
1153,True
1154,True
1155,False
1156,False
1157,True
1158,True
1159,True
1160,False
1161,False
1162,True
1163,True
1164,True
1165,False
1166,False
1167,True
1168,True
1169,True
1170,False
1171,False
1172,True
1173,True
1174,True
1175,False
1176,False
1177,True
1178,True
1179,True
1180,False
1181,False
1182,True
1183,True
1184,True
1185,False
1186,False
1187,True
1188,True
1189,True
1190,False
1191,False
1192,True
1193,True
1194,True
1195,False
1196,False
1197,True
1198,True
1199,True
1200,False
1201,False
1202,True
1203,True
1204,True
1205,False
1206,False
1207,True
1208,True
1209,True
1210,False
1211,False
1212,True
1213,True
1214,True
1215,False
1216,False
1217,True
1218,True
1219,True
1220,False
1221,False
1222,True
1223,True
1224,True
1225,False
1226,False
1227,True
1228,True
1229,True
1230,False
1231,False
1232,True
1233,True
1234,True
1235,False
1236,False
1237,True
1238,True
1239,True
1240,False
1241,False
1242,True
1243,True
1244,True
1245,False
1246,False
1247,True
1248,True
1249,True
1250,False
1251,False
1252,True
1253,True
1254,True
1255,False
1256,False
1257,True
1258,True
1259,True
1260,False
1261,False
1262,True
1263,True
1264,True
1265,False
1266,False
1267,True
1268,True
1269,True
1270,False
1271,False
1272,True
1273,True
1274,True
1275,False
1276,False
1277,True
1278,True
1279,True
1280,False
1281,False
1282,True
1283,True
1284,True
1285,False
1286,False
1287,True
1288,True
1289,True
1290,False
1291,False
1292,True
1293,True
1294,True
1295,False
1296,False
1297,True
1298,True
1299,True
1300,False
1301,False
1302,True
1303,True
1304,True
1305,False
1306,False
1307,True
1308,True
1309,True
1310,False
1311,False
1312,True
1313,True
1314,True
1315,False
1316,False
1317,True
1318,True
1319,True
1320,False
1321,False
1322,True
1323,True
1324,True
1325,False
1326,False
1327,True
1328,True
1329,True
1330,False
1331,False
1332,True
1333,True
1334,True
1335,False
1336,False
1337,True
1338,True
1339,True
1340,False
1341,False
1342,True
1343,True
1344,True
1345,False
1346,False
1347,True
1348,True
1349,True
1350,False
1351,False
1352,True
1353,True
1354,True
1355,False
1356,False
1357,True
1358,True
1359,True
1360,False
1361,False
1362,True
1363,True
1364,True
1365,False
1366,False
1367,True
1368,True
1369,True
1370,False
1371,False
1372,True
1373,True
1374,True
1375,False
1376,False
1377,True
1378,True
1379,True
1380,False
1381,False
1382,True
1383,True
1384,True
1385,False
1386,False
1387,True
1388,True
1389,True
1390,False
1391,False
1392,True
1393,True
1394,True
1395,False
1396,False
1397,True
1398,True
1399,True
1400,False
1401,False
1402,True
1403,True
1404,True
1405,False
1406,False
1407,True
1408,True
1409,True
1410,False
1411,False
1412,True
1413,True
1414,True
1415,False
1416,False
1417,True
1418,True
1419,True
1420,False
1421,False
1422,True
1423,True
1424,True
1425,False
1426,False
1427,True
1428,True
1429,True
1430,False
1431,False
1432,True
1433,True
1434,True
1435,False
1436,False
1437,True
1438,True
1439,True
1440,False
1441,False
1442,True
1443,True
1444,True
1445,False
1446,False
1447,True
1448,True
1449,True
1450,False
1451,False
1452,True
1453,True
1454,True
1455,False
1456,False
1457,True
1458,True
1459,True
1460,False
1461,False
1462,True
1463,True
1464,True
1465,False
1466,False
1467,True
1468,True
1469,True
1470,False
1471,False
1472,True
1473,True
1474,True
1475,False
1476,False
1477,True
1478,True
1479,True
1480,False
1481,False
1482,True
1483,True
1484,True
1485,False
1486,False
1487,True
1488,True
1489,True
1490,False
1491,False
1492,True
1493,True
1494,True
1495,False
1496,False
1497,True
1498,True
1499,True
1500,False
1501,False
1502,True
1503,True
1504,True
1505,False
1506,False
1507,True
1508,True
1509,True
1510,False
1511,False
1512,True
1513,True
1514,True
1515,False
1516,False
1517,True
1518,True
1519,True
1520,False
1521,False
1522,True
1523,True
1524,True
1525,False
1526,False
1527,True
1528,True
1529,True
1530,False
1531,False
1532,True
1533,True
1534,True
1535,False
1536,False
1537,True
1538,True
1539,True
1540,False
1541,False
1542,True
1543,True
1544,True
1545,False
1546,False
1547,True
1548,True
1549,True
1550,False
1551,False
1552,True
1553,True
1554,True
1555,False
1556,False
1557,True
1558,True
1559,True
1560,False
1561,False
1562,True
1563,True
1564,True
1565,False
1566,False
1567,True
1568,True
1569,True
1570,False
1571,False
1572,True
1573,True
1574,True
1575,False
1576,False
1577,True
1578,True
1579,True
1580,False
1581,False
1582,True
1583,True
1584,True
1585,False
1586,False
1587,True
1588,True
1589,True
1590,False
1591,False
1592,True
1593,True
1594,True
1595,False
1596,False
1597,True
1598,True
1599,True
1600,False
1601,False
1602,True
1603,True
1604,True
1605,False
1606,False
1607,True
1608,True
1609,True
1610,False
1611,False
1612,True
1613,True
1614,True
1615,False
1616,False
1617,True
1618,True
1619,True
1620,False
1621,False
1622,True
1623,True
1624,True
1625,False
1626,False
1627,True
1628,True
1629,True
1630,False
1631,False
1632,True
1633,True
1634,True
1635,False
1636,False
1637,True
1638,True
1639,True
1640,False
1641,False
1642,True
1643,True
1644,True
1645,False
1646,False
1647,True
1648,True
1649,True
1650,False
1651,False
1652,True
1653,True
1654,True
1655,False
1656,False
1657,True
1658,True
1659,True
1660,False
1661,False
1662,True
1663,True
1664,True
1665,False
1666,False
1667,True
1668,True
1669,True
1670,False
1671,False
1672,True
1673,True
1674,True
1675,False
1676,False
1677,True
1678,True
1679,True
1680,False
1681,False
1682,True
1683,True
1684,True
1685,False
1686,False
1687,True
1688,True
1689,True
1690,False
1691,False
1692,True
1693,True
1694,True
1695,False
1696,False
1697,True
1698,True
1699,True
1700,False
1701,False
1702,True
1703,True
1704,True
1705,False
1706,False
1707,True
1708,True
1709,True
1710,False
1711,False
1712,True
1713,True
1714,True
1715,False
1716,False
1717,True
1718,True
1719,True
1720,False
1721,False
1722,True
1723,True
1724,True
1725,False
1726,False
1727,True
1728,True
1729,True
1730,False
1731,False
1732,True
1733,True
1734,True
1735,False
1736,False
1737,True
1738,True
1739,True
1740,False
1741,False
1742,True
1743,True
1744,True
1745,False
1746,False
1747,True
1748,True
1749,True
1750,False
1751,False
1752,True
1753,True
1754,True
1755,False
1756,False
1757,True
1758,True
1759,True
1760,False
1761,False
1762,True
1763,True
1764,True
1765,False
1766,False
1767,True
1768,True
1769,True
1770,False
1771,False
1772,True
1773,True
1774,True
1775,False
1776,False
1777,True
1778,True
1779,True
1780,False
1781,False
1782,True
1783,True
1784,True
1785,False
1786,False
1787,True
1788,True
1789,True
1790,False
1791,False
1792,True
1793,True
1794,True
1795,False
1796,False
1797,True
1798,True
1799,True
1800,False
1801,False
1802,True
1803,True
1804,True
1805,False
1806,False
1807,True
1808,True
1809,True
1810,False
1811,False
1812,True
1813,True
1814,True
1815,False
1816,False
1817,True
1818,True
1819,True
1820,False
1821,False
1822,True
1823,True
1824,True
1825,False
1826,False
1827,True
1828,True
1829,True
1830,False
1831,False
1832,True
1833,True
1834,True
1835,False
1836,False
1837,True
1838,True
1839,True
1840,False
1841,False
1842,True
1843,True
1844,True
1845,False
1846,False
1847,True
1848,True
1849,True
1850,False
1851,False
1852,True
1853,True
1854,True
1855,False
1856,False
1857,True
1858,True
1859,True
1860,False
1861,False
1862,True
1863,True
1864,True
1865,False
1866,False
1867,True
1868,True
1869,True
1870,False
1871,False
1872,True
1873,True
1874,True
1875,False
1876,False
1877,True
1878,True
1879,True
1880,False
1881,False
1882,True
1883,True
1884,True
1885,False
1886,False
1887,True
1888,True
1889,True
1890,False
1891,False
1892,True
1893,True
1894,True
1895,False
1896,False
1897,True
1898,True
1899,True
1900,False
1901,False
1902,True
1903,True
1904,True
1905,False
1906,False
1907,True
1908,True
1909,True
1910,False
1911,False
1912,True
1913,True
1914,True
1915,False
1916,False
1917,True
1918,True
1919,True
1920,False
1921,False
1922,True
1923,True
1924,True
1925,False
1926,False
1927,True
1928,True
1929,True
1930,False
1931,False
1932,True
1933,True
1934,True
1935,False
1936,False
1937,True
1938,True
1939,True
1940,False
1941,False
1942,True
1943,True
1944,True
1945,False
1946,False
1947,True
1948,True
1949,True
1950,False
1951,False
1952,True
1953,True
1954,True
1955,False
1956,False
1957,True
1958,True
1959,True
1960,False
1961,False
1962,True
1963,True
1964,True
1965,False
1966,False
1967,True
1968,True
1969,True
1970,False
1971,False
1972,True
1973,True
1974,True
1975,False
1976,False
1977,True
1978,True
1979,True
1980,False
1981,False
1982,True
1983,True
1984,True
1985,False
1986,False
1987,True
1988,True
1989,True
1990,False
1991,False
1992,True
1993,True
1994,True
1995,False
1996,False
1997,True
1998,True
1999,True
2000,False
2001,False
2002,True
2003,True
2004,True
2005,False
2006,False
2007,True
2008,True
2009,True
2010,False
2011,False
2012,True
2013,True
2014,True
2015,False
2016,False
2017,True
2018,True
2019,True
2020,False
2021,False
2022,True
2023,True
2024,True
2025,False
2026,False
2027,True
2028,True
2029,True
2030,False
2031,False
2032,True
2033,True
2034,True
2035,False
2036,False
2037,True
2038,True
2039,True
2040,False
2041,False
2042,True
2043,True
2044,True
2045,False
2046,False
2047,True
2048,True
2049,True
2050,False
2051,False
2052,True
2053,True
2054,True
2055,False
2056,False
2057,True
2058,True
2059,True
2060,False
2061,False
2062,True
2063,True
2064,True
2065,False
2066,False
2067,True
2068,True
2069,True
2070,False
2071,False
2072,True
2073,True
2074,True
2075,False
2076,False
2077,True
2078,True
2079,True
2080,False
2081,False
2082,True
2083,True
2084,True
2085,False
2086,False
2087,True
2088,True
2089,True
2090,False
2091,False
2092,True
2093,True
2094,True
2095,False
2096,False
2097,True
2098,True
2099,True
2100,False
2101,False
2102,True
2103,True
2104,True
2105,False
2106,False
2107,True
2108,True
2109,True
2110,False
2111,False
2112,True
2113,True
2114,True
2115,False
2116,False
2117,True
2118,True
2119,True
2120,False
2121,False
2122,True
2123,True
2124,True
2125,False
2126,False
2127,True
2128,True
2129,True
2130,False
2131,False
2132,True
2133,True
2134,True
2135,False
2136,False
2137,True
2138,True
2139,True
2140,False
2141,False
2142,True
2143,True
2144,True
2145,False
2146,False
2147,True
2148,True
2149,True
2150,False
2151,False
2152,True
2153,True
2154,True
2155,False
2156,False
2157,True
2158,True
2159,True
2160,False
2161,False
2162,True
2163,True
2164,True
2165,False
2166,False
2167,True
2168,True
2169,True
2170,False
2171,False
2172,True
2173,True
2174,True
2175,False
2176,False
2177,True
2178,True
2179,True
2180,False
2181,False
2182,True
2183,True
2184,True
2185,False
2186,False
2187,True
2188,True
2189,True
2190,False
2191,False
2192,True
2193,True
2194,True
2195,False
2196,False
2197,True
2198,True
2199,True
2200,False
2201,False
2202,True
2203,True
2204,True
2205,False
2206,False
2207,True
2208,True
2209,True
2210,False
2211,False
2212,True
2213,True
2214,True
2215,False
2216,False
2217,True
2218,True
2219,True
2220,False
2221,False
2222,True
2223,True
2224,True
2225,False
2226,False
2227,True
2228,True
2229,True
2230,False
2231,False
2232,True
2233,True
2234,True
2235,False
2236,False
2237,True
2238,True
2239,True
2240,False
2241,False
2242,True
2243,True
2244,True
2245,False
2246,False
2247,True
2248,True
2249,True
2250,False
2251,False
2252,True
2253,True
2254,True
2255,False
2256,False
2257,True
2258,True
2259,True
2260,False
2261,False
2262,True
2263,True
2264,True
2265,False
2266,False
2267,True
2268,True
2269,True
2270,False
2271,False
2272,True
2273,True
2274,True
2275,False
2276,False
2277,True
2278,True
2279,True
